contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spread,moneyness
AAPL250620C00005000,2025-06-16 14:33:26+00:00,5.0,193.6,0.0,0.0,0.0,0.0,8.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,38.683999633789064
AAPL250620C00010000,2025-06-09 17:59:26+00:00,10.0,192.64,0.0,0.0,0.0,0.0,40.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,18.841999816894532
AAPL250620C00015000,2025-06-16 13:43:24+00:00,15.0,181.93,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,12.227999877929687
AAPL250620C00020000,2025-06-03 13:50:53+00:00,20.0,183.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,8.920999908447266
AAPL250620C00025000,2025-06-13 18:58:54+00:00,25.0,171.33,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,6.936799926757812
AAPL250620C00030000,2025-05-05 19:10:28+00:00,30.0,170.25,172.4,173.4,0.0,0.0,1.0,1.0,14.08789182006836,True,REGULAR,USD,call,2025-06-20,1.0,5.613999938964843
AAPL250620C00035000,2025-06-13 14:01:55+00:00,35.0,162.06,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,4.6691428048270085
AAPL250620C00040000,2025-06-13 14:01:55+00:00,40.0,157.05,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,3.960499954223633
AAPL250620C00045000,2025-06-13 14:01:55+00:00,45.0,152.05,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,3.4093332926432294
AAPL250620C00050000,2025-06-16 19:02:37+00:00,50.0,148.25,0.0,0.0,0.0,0.0,84.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,2.968399963378906
AAPL250620C00055000,2025-06-16 17:19:21+00:00,55.0,142.46,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,2.60763633034446
AAPL250620C00060000,2025-06-10 19:22:59+00:00,60.0,143.05,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,2.3069999694824217
AAPL250620C00065000,2025-06-10 19:22:59+00:00,65.0,138.08,0.0,0.0,0.0,0.0,4.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,2.0526153564453127
AAPL250620C00070000,2025-06-02 15:09:26+00:00,70.0,131.35,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,1.8345714024135045
AAPL250620C00075000,2025-06-13 13:52:19+00:00,75.0,123.58,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,1.6455999755859374
AAPL250620C00080000,2025-06-13 13:53:30+00:00,80.0,117.25,0.0,0.0,0.0,0.0,10.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,1.4802499771118165
AAPL250620C00085000,2025-06-16 19:03:28+00:00,85.0,113.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,1.3343529196346506
AAPL250620C00090000,2025-06-16 17:12:42+00:00,90.0,107.34,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,1.2046666463216147
AAPL250620C00095000,2025-06-16 14:20:35+00:00,95.0,103.18,0.0,0.0,0.0,0.0,1.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,1.0886315596731087
AAPL250620C00100000,2025-06-16 19:32:39+00:00,100.0,98.17,0.0,0.0,0.0,0.0,2.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.9841999816894531
AAPL250620C00105000,2025-06-06 19:32:13+00:00,105.0,100.05,0.0,0.0,0.0,0.0,7.0,0.0,1.0000000000000004e-05,True,REGULAR,USD,call,2025-06-20,0.0,0.8897142682756697
